regione,hex
cha_reg_rome_roma,23B1DC
mk_reg_al-raqqah,23B1DC
bel_reg_sicilia_panormus,24B6DB
cha_reg_exarchate_ancona,24B6DB
mk_reg_kayseri,24B6DB
bel_reg_lucania_et_brutii_thurii,25BBDA
cha_reg_east_neustria_amiens,25BBDA
mk_reg_colchester,25BBDA
mk_sea_celtic,262273
bel_reg_dalmatia_tarsatica,26C0D9
cha_reg_angria_buraburg,26C0D9
mk_reg_tunis,26C0D9
bel_reg_zeugitana_hippo_regis,27C5D8
cha_reg_france_chatres,27C5D8
mk_reg_murcia,27C5D8
cha_reg_marca_inferior_coimbra,28CAD7
mk_reg_prague,28CAD7
cha_reg_west_neustria_rennes,29CFD6
mk_reg_caffa,29CFD6
bel_reg_flaminia_et_picenum_bononia,2AD4D5
cha_reg_carinthia_salzburg,2AD4D5
mk_reg_antwerp,2AD4D5
bel_reg_dalmatia_salona,2BD9D4
cha_reg_angria_erfurt,2BD9D4
mk_reg_qusantina,2BD9D4
bel_reg_mauretania_caesariensis_pomaria,2CDED3
mk_reg_constantinopolis,2CDED3
bel_reg_tuscia_et_umbria_pisae,2DE3D2
cha_reg_calabria_kroton,2DE3D2
mk_reg_cordoba,2DE3D2
bel_reg_lucania_et_brutii_crotona,2EE8D1
cha_reg_east_neustria_reims,2EE8D1
mk_reg_bristol,2EE8D1
cha_reg_pannonia_cibakhaza,2FEDD0
mk_reg_mystras,2FEDD0
bel_reg_sardinia_et_corsica_turris,30F2CF
cha_reg_burgundy_grenoble,30F2CF
mk_reg_baghdad,30F2CF
cha_reg_wales_mathrafal,31F7CE
cha_reg_brittany_quimper,32FCCD
mk_reg_cyzicus,32FCCD
bel_reg_baetica_malaca,33F7CC
mk_reg_gorgan,33F7CC
bel_reg_celtiberia_segovia,34F2CB
cha_reg_wessex_canterbury,35EDCA
cha_reg_gallicia_lugo,36E8C9
mk_reg_ras,36E8C9
cha_reg_bohemia_dresden,37E3C8
mk_reg_dvin,37E3C8
cha_reg_benevento_bari,38DEC7
mk_reg_amol,38DEC7
cha_reg_lombardy_genova,39D9C6
mk_reg_riga,39D9C6
bel_reg_flaminia_et_picenum_pisaurum,3AD4C5
cha_reg_carinthia_wien,3AD4C5
mk_reg_bruges,3AD4C5
mk_sea_bay_biscay,3B1147
cha_reg_pannonia_kaposvar,3BCFC4
mk_reg_dyrrhachium,3BCFC4
bel_reg_apulia_et_calabria_sipontum,3CCAC3
cha_reg_eastphalia_halberstadt,3CCAC3
mk_reg_dublin,3CCAC3
bel_reg_campania_et_samnium_corfinium,3DC5C2
cha_reg_east_aquitaine_arvernis,3DC5C2
mk_reg_york,3DC5C2
cha_reg_saxony_bremen,3EC0C1
mk_reg_hamadan,3EC0C1
cha_reg_toledo_calatrava,3FBBC0
mk_reg_algiers,3FBBC0
bel_reg_apulia_et_calabria_tarentum,40B6BF
cha_reg_eastphalia_hildesheim,40B6BF
mk_reg_edinburgh,40B6BF
bel_reg_praeualitana_lissus,41B1BE
cha_reg_austrasia_trier,41B1BE
mk_reg_toulouse,41B1BE
cha_reg_obodrites_havelberg,42ACBD
mk_reg_badajoz,42ACBD
mk_reg_homs,43A7BC
cha_reg_brittany_st_malo,44A2BB
mk_reg_smyrna,44A2BB
bel_reg_epirus_nova_dyrrachium,459DBA
cha_reg_bavaria_augsburg,459DBA
mk_reg_aden,459DBA
cha_reg_mercia_chester,4698B9
mk_reg_pisa,4698B9
cha_reg_gharb_al_anadalus_cadiz,4793B8
mk_reg_groningen,4793B8
bel_reg_africa_proconsularis_hippo_diarrhytus,488EB7
cha_reg_franconia_frankfurt,488EB7
mk_reg_baku,488EB7
cha_reg_saxony_hamburg,4989B6
mk_reg_tabriz,4989B6
cha_reg_wessex_london,4A84B5
cha_reg_wilzi_brandenburg,4B7FB4
mk_reg_sharukan,4B7FB4
cha_reg_navarre_pamplona,4C7AB3
mk_reg_genoa,4C7AB3
cha_reg_marca_hispanica_girona,4D75B2
mk_reg_gdansk,4D75B2
bel_reg_dalmatia_narona,4E70B1
cha_reg_angria_paderborn,4E70B1
mk_reg_aleppo,4E70B1
mk_reg_roskilde,4F6BB0
cha_reg_moravia_nitra,5066AF
mk_reg_herat,5066AF
cha_reg_provence_arles,5161AE
mk_reg_hormuz,5161AE
cha_reg_benevento_benevento,525CAD
mk_reg_kufah,525CAD
bel_reg_tuscia_et_umbria_faesulae,5357AC
cha_reg_calabria_region,5357AC
mk_reg_seville,5357AC
mk_reg_lodose,5452AB
bel_reg_byzacena_hadrumentum,554DAA
cha_reg_frisia_boulogne,554DAA
mk_reg_iconion,554DAA
mk_reg_yazd,5648A9
cha_reg_west_aquitaine_angouleme,5743A8
mk_reg_vienna,5743A8
cha_reg_marca_media_caceres,583EA7
mk_reg_chernigov,583EA7
bel_reg_lusitania_emerita,5939A6
mk_reg_urgench,5939A6
bel_reg_africa_proconsularis_carthago,5A34A5
cha_reg_franconia_hallstadt,5A34A5
mk_reg_batumi,5A34A5
bel_reg_gallaecia_bracara,5B2FA4
bel_sea_lake,5B4DC2
cha_sea_lake,5B4DC2
bel_reg_baetica_gades,5C2AA3
mk_reg_halych,5C2AA3
bel_reg_lusitania_aeminium,5D25A2
mk_reg_tripoli_libya,5D25A2
bel_reg_campania_et_samnium_beneventum,5E20A1
cha_reg_east_aquitaine_autun,5E20A1
mk_reg_nottingham,5E20A1
bel_reg_lucania_et_brutii_rhegium,5F1BA0
cha_reg_east_neustria_troyes,5F1BA0
mk_reg_london,5F1BA0
cha_reg_northumbria_bamburgh,60169F
mk_reg_lyon,60169F
cha_reg_leon_santander,61119E
mk_reg_magdeburg,61119E
bel_reg_carthaginensis_carthago_nova,620C9D
mk_reg_heidelberg,620C9D
bel_reg_tuscia_et_umbria_arretium,63079C
cha_reg_calabria_taranto,63079C
mk_reg_malaga,63079C
mk_sea_balearic_sardinian,63316B
bel_reg_mauretania_tingitana_rusaddir,64029B
mk_reg_tarnovo,64029B
bel_reg_gallaecia_astorga,65079A
mk_sea_adriatic_sea,65079A
bel_sea_mare_adriaticum,6525B8
bel_sea_mare_ibericum,6543D6
bel_reg_gallaecia_brigantium,660C99
cha_sea_adriatic_sea,660C99
mk_sea_aegean_sea,660C99
bel_sea_mare_ionium,662AB7
bel_reg_cantabria_legio,671198
cha_sea_alboran_sea,671198
mk_sea_eastern_mediterranean,671198
cha_sea_atlantic_ocean,681697
mk_sea_central_mediterranean,681697
bel_reg_cantabria_portus_victoriae,681699
bel_sea_mare_gallicum,6834B9
bel_sea_mare_incognita,6852CD
cha_sea_mare_incognita,6852CD
bel_sea_oceanus_gallicus,68709D
bel_reg_cantabria_pompaelo,691B96
cha_sea_balearic_sea,691B96
mk_sea_western_mediterranean,691B96
bel_sea_mare_tyrrhenum,6939B4
bel_reg_tarraconensis_valentia,6A2095
cha_sea_baltic_sea,6A2095
mk_sea_caspian_sea,6A2095
bel_sea_mare_africum,6A2AA9
bel_sea_oceanus_atlanticus,6ACA96
mk_sea_tyrrhenian,6B1985
bel_reg_tarraconensis_caesaraugusta,6B2594
cha_sea_bay_of_biscay,6B2594
bel_sea_mare_internum,6B2F9E
bel_reg_tarraconensis_barcino,6C2A93
cha_sea_celtic_sea,6C2A93
bel_sea_mare_syrtis,6C5CCF
bel_reg_novempopulania_tolosa,6D2F92
cha_sea_gulf_of_lion,6D2F92
mk_sea_north_sea,6D2F92
bel_reg_novempopulania_aquensium,6E3491
cha_sea_ionian_sea,6E3491
bel_reg_novempopulania_burdigala,6F3990
cha_sea_irish_sea,6F3990
bel_reg_septimania_narbonne,703E8F
cha_sea_ligurian_sea,703E8F
mk_sea_indian_ocean,703E8F
bel_reg_septimania_elne,71438E
cha_sea_mediterranean_sea,71438E
bel_reg_septimania_nimes,72488D
cha_sea_north_sea,72488D
bel_reg_aquitaine_lemonum,734D8C
cha_sea_south_sea,734D8C
bel_reg_aquitaine_avaricum,74528B
cha_sea_straight_of_gibraltar,74528B
bel_reg_aquitaine_arvernis,75578A
cha_sea_tyrrhenian_sea,75578A
mk_sea_baltic_sea,75578A
bel_reg_neustria_paris,765C89
bel_reg_neustria_turonorum,776188
cha_reg_navarre_saragossa,786687
mk_reg_milan,786687
bel_reg_sicilia_agrigentum,796B86
cha_reg_exarchate_bologna,796B86
mk_reg_malatya,796B86
cha_reg_moravia_savaria,7A7085
mk_reg_merv,7A7085
bel_reg_sardinia_et_corsica_caralis,7B7584
cha_reg_burgundy_lyon,7B7584
mk_reg_basra,7B7584
cha_reg_marca_media_merida,7C7A83
mk_reg_ryazan,7C7A83
bel_reg_africa_proconsularis_thuburbo,7D7F82
cha_reg_franconia_wurzburg,7D7F82
mk_reg_tbilisi,7D7F82
bel_reg_byzacena_thysdrus,7E8481
cha_reg_frisia_ghent,7E8481
mk_reg_attaleia,7E8481
cha_reg_swabia_speyer,7F8980
mk_reg_montpellier,7F8980
cha_reg_mercia_lichfield,808E7F
mk_reg_naples,808E7F
bel_reg_picenum_suburbicarium_asculum,81937E
cha_reg_croatia_sisak,81937E
mk_reg_nicaea,81937E
bel_reg_neustria_portus_namnetum,82987D
cha_reg_toledo_guadalajara,839D7C
mk_reg_mosul,839D7C
cha_reg_marca_inferior_lisbon,84A27B
mk_reg_esztergom,84A27B
cha_reg_ulster_downpatrick,85A77A
mk_reg_damascus,85A77A
bel_reg_brittany_gwened,86AC79
mk_sea_atlantic_ocean,86AC79
bel_reg_brittany_riedonum,87B178
bel_reg_brittany_osismorum,88B677
bel_reg_austrasia_mettis,89BB76
bel_sea_mare_balearicum,89CF30
cha_reg_sardinia_and_corsica_cagliari,8AC075
mk_reg_bern,8AC075
cha_reg_lombardy_pavia,8BC574
mk_reg_gardinas,8BC574
cha_reg_wilzi_cottbus,8CCA73
mk_reg_bilgorod,8CCA73
cha_reg_obodrites_rerik,8DCF72
mk_reg_lisbon,8DCF72
bel_reg_epirus_nova_photiki,8ED471
cha_reg_bavaria_passau,8ED471
mk_reg_bahla,8ED471
bel_reg_liguria_genua,8FD970
cha_reg_al_andalus_jaen,8FD970
mk_reg_minya,8FD970
bel_reg_venetia_et_histria_aquileia,90DE6F
cha_reg_alemannia_konstanz,90DE6F
mk_reg_dongola,90DE6F
cha_reg_lombardy_pisa,91E36E
mk_reg_vilnius,91E36E
cha_reg_munster_cork,92E86D
cha_reg_obodrites_stargard,93ED6C
mk_reg_evora,93ED6C
cha_reg_bohemia_iglau,94F26B
mk_reg_ardabil,94F26B
cha_reg_friuli_venezia,95F76A
mk_reg_suceava,95F76A
cha_reg_provence_marseille,96FC69
mk_reg_zaranj,96FC69
bel_reg_mauretania_sitifensis_cirta,97F768
mk_reg_pamplona,97F768
bel_reg_austrasia_remorum,98F267
mk_sea_west_black_sea,98F267
bel_reg_austrasia_augustobona_tricassium,99ED66
bel_reg_burgundy_vienne,9AE865
bel_reg_burgundy_valentia,9BE364
cha_reg_munster_dublin,9CDE63
mk_reg_barca,9CDE63
cha_reg_provence_nice,9DD962
mk_reg_sarai_juq,9ED461
bel_reg_celtiberia_complutum,9FCF60
mk_reg_bologna,9FCF60
cha_reg_saxony_osnabruck,A0CA5F
mk_reg_ray,A0CA5F
cha_reg_pictland_dumbarton,A1C55E
mk_reg_reggio,A1C55E
bel_reg_burgundy_besantio,A2C05D
cha_reg_mercia_lincoln,A3BB5C
mk_reg_rome,A3BB5C
cha_reg_friuli_verona,A4B65B
mk_reg_targoviste,A4B65B
cha_reg_northumbria_streonshalh,A5B15A
mk_reg_rouen,A5B15A
cha_reg_marca_hispanica_tarragona,A6AC59
mk_reg_stralsund,A6AC59
bel_reg_carthaginensis_ilici,A7A758
mk_reg_misrata,A7A758
cha_reg_gallicia_oviedo,A8A257
mk_reg_split,A8A257
cha_reg_west_neustria_bayeux,A99D56
mk_reg_derbent,A99D56
mk_reg_saqsin,AA9855
cha_reg_ulster_grinan_of_ailech,AB9354
mk_reg_veszprem,AB9354
bel_reg_italia_cosa,AC8E53
cha_reg_gascony_agen,AC8E53
mk_reg_scopie,AC8E53
bel_reg_zeugitana_bulla_regia,AD8952
cha_reg_france_paris,AD8952
mk_reg_valencia,AD8952
bel_reg_campania_et_samnium_neapolis,AE8451
cha_reg_east_aquitaine_rodez,AE8451
mk_reg_caernarvon,AE8451
cha_reg_navarre_tudela,AF7F50
mk_reg_turin,AF7F50
bel_reg_italia_roma,B07A4F
cha_reg_gascony_bayonne,B07A4F
mk_reg_sredets,B07A4F
bel_reg_lusitania_olissipo,B1754E
bel_reg_provence_massilia,B2704D
mk_sea_red_sea,B2704D
bel_reg_provence_vapincum,B36B4C
bel_reg_provence_nikaia,B4664B
cha_reg_wales_caerwent,B65C49
mk_reg_bushehr,B65C49
cha_reg_valencia_cartagena,B75748
mk_reg_belgrade,B75748
cha_reg_gallicia_santiago,B85247
mk_reg_zagreb,B85247
cha_reg_valencia_palma,B94D46
mk_reg_pecs,B94D46
mk_reg_isfahan,BA4845
cha_reg_wales_degannwy,BB4344
mk_reg_shiraz,BB4344
mk_reg_ahvaz,BC3E43
cha_reg_marca_media_salamanca,BD3942
mk_reg_kursk,BD3942
cha_reg_brittany_vannes,BE3441
mk_reg_dorylaion,BE3441
cha_reg_pictland_rhynie,BF2F40
mk_reg_syracuse,BF2F40
cha_reg_rome_siena,C2203D
cha_reg_septimania_toulouse,C2243D
mk_reg_cagliari,C2243D
cha_reg_west_neustria_nantes,C31B3C
mk_reg_tana,C31B3C
cha_reg_septimania_narbonne,C3233C
mk_reg_ajaccio,C3233C
cha_reg_pictland_scone,C4163B
mk_reg_taranto,C4163B
cha_reg_septimania_urgell,C4223B
mk_reg_palma,C4223B
bel_reg_mauretania_caesariensis_caesarea,C5113A
mk_reg_barcelona,C5113A
cha_reg_sicilia_akragas,C5213A
mk_reg_famagusta,C5213A
bel_reg_byzacena_sufetula,C60C39
cha_reg_frisia_utrecht,C60C39
mk_reg_sis,C60C39
cha_reg_sicilia_syracuse,C62039
mk_reg_rhodes,C62039
bel_reg_mauretania_caesariensis_cartenna,C70738
bel_reg_terra_incognita,C70738
cha_reg_terra_incognita,C70738
mk_reg_terra_incognita,C70738
cha_reg_sicilia_panormos,C71F38
mk_reg_candia,C71F38
cha_reg_pannonia_szeged,C80237
mk_reg_thessalonica,C80237
bel_reg_terra_incognita_transalpina,C8083A
cha_reg_rome_spoleto,C91136
mk_reg_tangier,C91136
bel_reg_zeugitana_thagaste,CA2035
cha_reg_france_tours,CA2035
mk_reg_toledo,CA2035
cha_reg_bohemia_praha,CB2F34
mk_reg_van,CB2F34
bel_reg_sicilia_syracuse,CC3E33
cha_reg_exarchate_ravenna,CC3E33
mk_reg_trebizond,CC3E33
bel_reg_mauretania_tingitana_tingis,CD4D32
mk_reg_philippopolis,CD4D32
bel_reg_apulia_et_calabria_hydruntum,CE5C31
cha_reg_eastphalia_magdeburg,CE5C31
mk_reg_inverness,CE5C31
cha_reg_gharb_al_anadalus_seville,CF6B30
mk_reg_braunschweig,CF6B30
cha_reg_northumbria_york,D07A2F
mk_reg_orleans,D07A2F
bel_reg_mauretania_sitifensis_sitifis,D1892E
mk_reg_tripoli_levant,D1892E
cha_reg_leon_valladoid,D2982D
mk_reg_frankfurt,D2982D
bel_reg_celtiberia_tolentum,D3A72C
mk_reg_verona,D3A72C
cha_reg_sardinia_and_corsica_olbia,D4B62B
mk_reg_dijon,D4B62B
cha_reg_swabia_strasbourg,D5C52A
mk_reg_vienne,D5C52A
bel_reg_italia_reate,D6D429
cha_reg_gascony_bordeaux,D6D429
mk_reg_nis,D6D429
cha_reg_west_aquitaine_bourges,D7E328
mk_reg_graz,D7E328
cha_reg_benevento_salerno,D8F227
mk_reg_mecca,D8F227
bel_reg_epirus_nova_nicopolis,D90026
cha_reg_bavaria_regensburg,D90026
mk_reg_marib,D90026
