regione,r,g,b
mk_reg_wroclaw,32,162,223
bel_reg_praeualitana_doclea,33,167,222
cha_reg_austrasia_metz,33,167,222
mk_reg_bordeaux,33,167,222
bel_reg_mauretania_sitifensis_tipasa,34,172,221
mk_reg_zaragoza,34,172,221
cha_reg_rome_roma,35,177,220
mk_reg_al-raqqah,35,177,220
bel_reg_sicilia_panormus,36,182,219
cha_reg_exarchate_ancona,36,182,219
mk_reg_kayseri,36,182,219
bel_reg_lucania_et_brutii_thurii,37,187,218
cha_reg_east_neustria_amiens,37,187,218
mk_reg_colchester,37,187,218
mk_sea_celtic,38,34,115
bel_reg_dalmatia_tarsatica,38,192,217
cha_reg_angria_buraburg,38,192,217
mk_reg_tunis,38,192,217
bel_reg_zeugitana_hippo_regis,39,197,216
cha_reg_france_chatres,39,197,216
mk_reg_murcia,39,197,216
cha_reg_marca_inferior_coimbra,40,202,215
mk_reg_prague,40,202,215
cha_reg_west_neustria_rennes,41,207,214
mk_reg_caffa,41,207,214
bel_reg_flaminia_et_picenum_bononia,42,212,213
cha_reg_carinthia_salzburg,42,212,213
mk_reg_antwerp,42,212,213
bel_reg_dalmatia_salona,43,217,212
cha_reg_angria_erfurt,43,217,212
mk_reg_qusantina,43,217,212
bel_reg_mauretania_caesariensis_pomaria,44,222,211
mk_reg_constantinopolis,44,222,211
bel_reg_tuscia_et_umbria_pisae,45,227,210
cha_reg_calabria_kroton,45,227,210
mk_reg_cordoba,45,227,210
bel_reg_lucania_et_brutii_crotona,46,232,209
cha_reg_east_neustria_reims,46,232,209
mk_reg_bristol,46,232,209
cha_reg_pannonia_cibakhaza,47,237,208
mk_reg_mystras,47,237,208
bel_reg_sardinia_et_corsica_turris,48,242,207
cha_reg_burgundy_grenoble,48,242,207
mk_reg_baghdad,48,242,207
cha_reg_wales_mathrafal,49,247,206
cha_reg_brittany_quimper,50,252,205
mk_reg_cyzicus,50,252,205
bel_reg_baetica_malaca,51,247,204
mk_reg_gorgan,51,247,204
bel_reg_celtiberia_segovia,52,242,203
cha_reg_wessex_canterbury,53,237,202
cha_reg_gallicia_lugo,54,232,201
mk_reg_ras,54,232,201
cha_reg_bohemia_dresden,55,227,200
mk_reg_dvin,55,227,200
cha_reg_benevento_bari,56,222,199
mk_reg_amol,56,222,199
cha_reg_lombardy_genova,57,217,198
mk_reg_riga,57,217,198
bel_reg_flaminia_et_picenum_pisaurum,58,212,197
cha_reg_carinthia_wien,58,212,197
mk_reg_bruges,58,212,197
mk_sea_bay_biscay,59,17,71
cha_reg_pannonia_kaposvar,59,207,196
mk_reg_dyrrhachium,59,207,196
bel_reg_apulia_et_calabria_sipontum,60,202,195
cha_reg_eastphalia_halberstadt,60,202,195
mk_reg_dublin,60,202,195
bel_reg_campania_et_samnium_corfinium,61,197,194
cha_reg_east_aquitaine_arvernis,61,197,194
mk_reg_york,61,197,194
cha_reg_saxony_bremen,62,192,193
mk_reg_hamadan,62,192,193
cha_reg_toledo_calatrava,63,187,192
mk_reg_algiers,63,187,192
bel_reg_apulia_et_calabria_tarentum,64,182,191
cha_reg_eastphalia_hildesheim,64,182,191
mk_reg_edinburgh,64,182,191
bel_reg_praeualitana_lissus,65,177,190
cha_reg_austrasia_trier,65,177,190
mk_reg_toulouse,65,177,190
cha_reg_obodrites_havelberg,66,172,189
mk_reg_badajoz,66,172,189
mk_reg_homs,67,167,188
cha_reg_brittany_st_malo,68,162,187
mk_reg_smyrna,68,162,187
bel_reg_epirus_nova_dyrrachium,69,157,186
cha_reg_bavaria_augsburg,69,157,186
mk_reg_aden,69,157,186
cha_reg_mercia_chester,70,152,185
mk_reg_pisa,70,152,185
cha_reg_gharb_al_anadalus_cadiz,71,147,184
mk_reg_groningen,71,147,184
bel_reg_africa_proconsularis_hippo_diarrhytus,72,142,183
cha_reg_franconia_frankfurt,72,142,183
mk_reg_baku,72,142,183
cha_reg_saxony_hamburg,73,137,182
mk_reg_tabriz,73,137,182
cha_reg_wessex_london,74,132,181
cha_reg_wilzi_brandenburg,75,127,180
mk_reg_sharukan,75,127,180
cha_reg_navarre_pamplona,76,122,179
mk_reg_genoa,76,122,179
cha_reg_marca_hispanica_girona,77,117,178
mk_reg_gdansk,77,117,178
bel_reg_dalmatia_narona,78,112,177
cha_reg_angria_paderborn,78,112,177
mk_reg_aleppo,78,112,177
mk_reg_roskilde,79,107,176
cha_reg_moravia_nitra,80,102,175
mk_reg_herat,80,102,175
cha_reg_provence_arles,81,97,174
mk_reg_hormuz,81,97,174
cha_reg_benevento_benevento,82,92,173
mk_reg_kufah,82,92,173
bel_reg_tuscia_et_umbria_faesulae,83,87,172
cha_reg_calabria_region,83,87,172
mk_reg_seville,83,87,172
mk_reg_lodose,84,82,171
bel_reg_byzacena_hadrumentum,85,77,170
cha_reg_frisia_boulogne,85,77,170
mk_reg_iconion,85,77,170
mk_reg_yazd,86,72,169
cha_reg_west_aquitaine_angouleme,87,67,168
mk_reg_vienna,87,67,168
cha_reg_marca_media_caceres,88,62,167
mk_reg_chernigov,88,62,167
bel_reg_lusitania_emerita,89,57,166
mk_reg_urgench,89,57,166
bel_reg_africa_proconsularis_carthago,90,52,165
cha_reg_franconia_hallstadt,90,52,165
mk_reg_batumi,90,52,165
bel_reg_gallaecia_bracara,91,47,164
bel_sea_lake,91,77,194
cha_sea_lake,91,77,194
bel_reg_baetica_gades,92,42,163
mk_reg_halych,92,42,163
bel_reg_lusitania_aeminium,93,37,162
mk_reg_tripoli_libya,93,37,162
bel_reg_campania_et_samnium_beneventum,94,32,161
cha_reg_east_aquitaine_autun,94,32,161
mk_reg_nottingham,94,32,161
bel_reg_lucania_et_brutii_rhegium,95,27,160
cha_reg_east_neustria_troyes,95,27,160
mk_reg_london,95,27,160
cha_reg_northumbria_bamburgh,96,22,159
mk_reg_lyon,96,22,159
cha_reg_leon_santander,97,17,158
mk_reg_magdeburg,97,17,158
bel_reg_carthaginensis_carthago_nova,98,12,157
mk_reg_heidelberg,98,12,157
bel_reg_tuscia_et_umbria_arretium,99,7,156
cha_reg_calabria_taranto,99,7,156
mk_reg_malaga,99,7,156
mk_sea_balearic_sardinian,99,49,107
bel_reg_mauretania_tingitana_rusaddir,100,2,155
mk_reg_tarnovo,100,2,155
bel_reg_gallaecia_astorga,101,7,154
mk_sea_adriatic_sea,101,7,154
bel_sea_mare_adriaticum,101,37,184
bel_sea_mare_ibericum,101,67,214
bel_reg_gallaecia_brigantium,102,12,153
cha_sea_adriatic_sea,102,12,153
mk_sea_aegean_sea,102,12,153
bel_sea_mare_ionium,102,42,183
bel_reg_cantabria_legio,103,17,152
cha_sea_alboran_sea,103,17,152
mk_sea_eastern_mediterranean,103,17,152
cha_sea_atlantic_ocean,104,22,151
mk_sea_central_mediterranean,104,22,151
bel_reg_cantabria_portus_victoriae,104,22,153
bel_sea_mare_gallicum,104,52,185
bel_sea_mare_incognita,104,82,205
cha_sea_mare_incognita,104,82,205
bel_sea_oceanus_gallicus,104,112,157
bel_reg_cantabria_pompaelo,105,27,150
cha_sea_balearic_sea,105,27,150
mk_sea_western_mediterranean,105,27,150
bel_sea_mare_tyrrhenum,105,57,180
bel_reg_tarraconensis_valentia,106,32,149
cha_sea_baltic_sea,106,32,149
mk_sea_caspian_sea,106,32,149
bel_sea_mare_africum,106,42,169
bel_sea_oceanus_atlanticus,106,202,150
mk_sea_tyrrhenian,107,25,133
bel_reg_tarraconensis_caesaraugusta,107,37,148
cha_sea_bay_of_biscay,107,37,148
bel_sea_mare_internum,107,47,158
bel_reg_tarraconensis_barcino,108,42,147
cha_sea_celtic_sea,108,42,147
bel_sea_mare_syrtis,108,92,207
bel_reg_novempopulania_tolosa,109,47,146
cha_sea_gulf_of_lion,109,47,146
mk_sea_north_sea,109,47,146
bel_reg_novempopulania_aquensium,110,52,145
cha_sea_ionian_sea,110,52,145
bel_reg_novempopulania_burdigala,111,57,144
cha_sea_irish_sea,111,57,144
bel_reg_septimania_narbonne,112,62,143
cha_sea_ligurian_sea,112,62,143
mk_sea_indian_ocean,112,62,143
bel_reg_septimania_elne,113,67,142
cha_sea_mediterranean_sea,113,67,142
bel_reg_septimania_nimes,114,72,141
cha_sea_north_sea,114,72,141
bel_reg_aquitaine_lemonum,115,77,140
cha_sea_south_sea,115,77,140
bel_reg_aquitaine_avaricum,116,82,139
cha_sea_straight_of_gibraltar,116,82,139
bel_reg_aquitaine_arvernis,117,87,138
cha_sea_tyrrhenian_sea,117,87,138
mk_sea_baltic_sea,117,87,138
bel_reg_neustria_paris,118,92,137
bel_reg_neustria_turonorum,119,97,136
cha_reg_navarre_saragossa,120,102,135
mk_reg_milan,120,102,135
bel_reg_sicilia_agrigentum,121,107,134
cha_reg_exarchate_bologna,121,107,134
mk_reg_malatya,121,107,134
cha_reg_moravia_savaria,122,112,133
mk_reg_merv,122,112,133
bel_reg_sardinia_et_corsica_caralis,123,117,132
cha_reg_burgundy_lyon,123,117,132
mk_reg_basra,123,117,132
cha_reg_marca_media_merida,124,122,131
mk_reg_ryazan,124,122,131
bel_reg_africa_proconsularis_thuburbo,125,127,130
cha_reg_franconia_wurzburg,125,127,130
mk_reg_tbilisi,125,127,130
bel_reg_byzacena_thysdrus,126,132,129
cha_reg_frisia_ghent,126,132,129
mk_reg_attaleia,126,132,129
cha_reg_swabia_speyer,127,137,128
mk_reg_montpellier,127,137,128
cha_reg_mercia_lichfield,128,142,127
mk_reg_naples,128,142,127
bel_reg_picenum_suburbicarium_asculum,129,147,126
cha_reg_croatia_sisak,129,147,126
mk_reg_nicaea,129,147,126
bel_reg_neustria_portus_namnetum,130,152,125
cha_reg_toledo_guadalajara,131,157,124
mk_reg_mosul,131,157,124
cha_reg_marca_inferior_lisbon,132,162,123
mk_reg_esztergom,132,162,123
cha_reg_ulster_downpatrick,133,167,122
mk_reg_damascus,133,167,122
bel_reg_brittany_gwened,134,172,121
mk_sea_atlantic_ocean,134,172,121
bel_reg_brittany_riedonum,135,177,120
bel_reg_brittany_osismorum,136,182,119
bel_reg_austrasia_mettis,137,187,118
bel_sea_mare_balearicum,137,207,48
cha_reg_sardinia_and_corsica_cagliari,138,192,117
mk_reg_bern,138,192,117
cha_reg_lombardy_pavia,139,197,116
mk_reg_gardinas,139,197,116
cha_reg_wilzi_cottbus,140,202,115
mk_reg_bilgorod,140,202,115
cha_reg_obodrites_rerik,141,207,114
mk_reg_lisbon,141,207,114
bel_reg_epirus_nova_photiki,142,212,113
cha_reg_bavaria_passau,142,212,113
mk_reg_bahla,142,212,113
bel_reg_liguria_genua,143,217,112
cha_reg_al_andalus_jaen,143,217,112
mk_reg_minya,143,217,112
bel_reg_venetia_et_histria_aquileia,144,222,111
cha_reg_alemannia_konstanz,144,222,111
mk_reg_dongola,144,222,111
cha_reg_lombardy_pisa,145,227,110
mk_reg_vilnius,145,227,110
cha_reg_munster_cork,146,232,109
cha_reg_obodrites_stargard,147,237,108
mk_reg_evora,147,237,108
cha_reg_bohemia_iglau,148,242,107
mk_reg_ardabil,148,242,107
cha_reg_friuli_venezia,149,247,106
mk_reg_suceava,149,247,106
cha_reg_provence_marseille,150,252,105
mk_reg_zaranj,150,252,105
bel_reg_mauretania_sitifensis_cirta,151,247,104
mk_reg_pamplona,151,247,104
bel_reg_austrasia_remorum,152,242,103
mk_sea_west_black_sea,152,242,103
bel_reg_austrasia_augustobona_tricassium,153,237,102
bel_reg_burgundy_vienne,154,232,101
bel_reg_burgundy_valentia,155,227,100
cha_reg_munster_dublin,156,222,99
mk_reg_barca,156,222,99
cha_reg_provence_nice,157,217,98
mk_reg_sarai_juq,158,212,97
bel_reg_celtiberia_complutum,159,207,96
mk_reg_bologna,159,207,96
cha_reg_saxony_osnabruck,160,202,95
mk_reg_ray,160,202,95
cha_reg_pictland_dumbarton,161,197,94
mk_reg_reggio,161,197,94
bel_reg_burgundy_besantio,162,192,93
cha_reg_mercia_lincoln,163,187,92
mk_reg_rome,163,187,92
cha_reg_friuli_verona,164,182,91
mk_reg_targoviste,164,182,91
cha_reg_northumbria_streonshalh,165,177,90
mk_reg_rouen,165,177,90
cha_reg_marca_hispanica_tarragona,166,172,89
mk_reg_stralsund,166,172,89
bel_reg_carthaginensis_ilici,167,167,88
mk_reg_misrata,167,167,88
cha_reg_gallicia_oviedo,168,162,87
mk_reg_split,168,162,87
cha_reg_west_neustria_bayeux,169,157,86
mk_reg_derbent,169,157,86
mk_reg_saqsin,170,152,85
cha_reg_ulster_grinan_of_ailech,171,147,84
mk_reg_veszprem,171,147,84
bel_reg_italia_cosa,172,142,83
cha_reg_gascony_agen,172,142,83
mk_reg_scopie,172,142,83
bel_reg_zeugitana_bulla_regia,173,137,82
cha_reg_france_paris,173,137,82
mk_reg_valencia,173,137,82
bel_reg_campania_et_samnium_neapolis,174,132,81
cha_reg_east_aquitaine_rodez,174,132,81
mk_reg_caernarvon,174,132,81
cha_reg_navarre_tudela,175,127,80
mk_reg_turin,175,127,80
bel_reg_italia_roma,176,122,79
cha_reg_gascony_bayonne,176,122,79
mk_reg_sredets,176,122,79
bel_reg_lusitania_olissipo,177,117,78
bel_reg_provence_massilia,178,112,77
mk_sea_red_sea,178,112,77
bel_reg_provence_vapincum,179,107,76
bel_reg_provence_nikaia,180,102,75
cha_reg_wales_caerwent,182,92,73
mk_reg_bushehr,182,92,73
cha_reg_valencia_cartagena,183,87,72
mk_reg_belgrade,183,87,72
cha_reg_gallicia_santiago,184,82,71
mk_reg_zagreb,184,82,71
cha_reg_valencia_palma,185,77,70
mk_reg_pecs,185,77,70
mk_reg_isfahan,186,72,69
cha_reg_wales_degannwy,187,67,68
mk_reg_shiraz,187,67,68
mk_reg_ahvaz,188,62,67
cha_reg_marca_media_salamanca,189,57,66
mk_reg_kursk,189,57,66
cha_reg_brittany_vannes,190,52,65
mk_reg_dorylaion,190,52,65
cha_reg_pictland_rhynie,191,47,64
mk_reg_syracuse,191,47,64
cha_reg_rome_siena,194,32,61
cha_reg_septimania_toulouse,194,36,61
mk_reg_cagliari,194,36,61
cha_reg_west_neustria_nantes,195,27,60
mk_reg_tana,195,27,60
cha_reg_septimania_narbonne,195,35,60
mk_reg_ajaccio,195,35,60
cha_reg_pictland_scone,196,22,59
mk_reg_taranto,196,22,59
cha_reg_septimania_urgell,196,34,59
mk_reg_palma,196,34,59
bel_reg_mauretania_caesariensis_caesarea,197,17,58
mk_reg_barcelona,197,17,58
cha_reg_sicilia_akragas,197,33,58
mk_reg_famagusta,197,33,58
bel_reg_byzacena_sufetula,198,12,57
cha_reg_frisia_utrecht,198,12,57
mk_reg_sis,198,12,57
cha_reg_sicilia_syracuse,198,32,57
mk_reg_rhodes,198,32,57
bel_reg_mauretania_caesariensis_cartenna,199,7,56
bel_reg_terra_incognita,199,7,56
cha_reg_terra_incognita,199,7,56
mk_reg_terra_incognita,199,7,56
cha_reg_sicilia_panormos,199,31,56
mk_reg_candia,199,31,56
cha_reg_pannonia_szeged,200,2,55
mk_reg_thessalonica,200,2,55
bel_reg_terra_incognita_transalpina,200,8,58
cha_reg_rome_spoleto,201,17,54
mk_reg_tangier,201,17,54
bel_reg_zeugitana_thagaste,202,32,53
cha_reg_france_tours,202,32,53
mk_reg_toledo,202,32,53
cha_reg_bohemia_praha,203,47,52
mk_reg_van,203,47,52
bel_reg_sicilia_syracuse,204,62,51
cha_reg_exarchate_ravenna,204,62,51
mk_reg_trebizond,204,62,51
bel_reg_mauretania_tingitana_tingis,205,77,50
mk_reg_philippopolis,205,77,50
bel_reg_apulia_et_calabria_hydruntum,206,92,49
cha_reg_eastphalia_magdeburg,206,92,49
mk_reg_inverness,206,92,49
cha_reg_gharb_al_anadalus_seville,207,107,48
mk_reg_braunschweig,207,107,48
cha_reg_northumbria_york,208,122,47
mk_reg_orleans,208,122,47
bel_reg_mauretania_sitifensis_sitifis,209,137,46
mk_reg_tripoli_levant,209,137,46
cha_reg_leon_valladoid,210,152,45
mk_reg_frankfurt,210,152,45
bel_reg_celtiberia_tolentum,211,167,44
mk_reg_verona,211,167,44
cha_reg_sardinia_and_corsica_olbia,212,182,43
mk_reg_dijon,212,182,43
cha_reg_swabia_strasbourg,213,197,42
mk_reg_vienne,213,197,42
bel_reg_italia_reate,214,212,41
cha_reg_gascony_bordeaux,214,212,41
mk_reg_nis,214,212,41
cha_reg_west_aquitaine_bourges,215,227,40
mk_reg_graz,215,227,40
cha_reg_benevento_salerno,216,242,39
mk_reg_mecca,216,242,39
bel_reg_epirus_nova_nicopolis,217,0,38
cha_reg_bavaria_regensburg,217,0,38
mk_reg_marib,217,0,38
