region key;is sea?;hex
vik_reg_steanford;false;7AC5CD
cib_reg_samarobriva;false;8B475D
vik_reg_stornochway;false;D4D4D4
vik_reg_stutfall;false;FF3E96
vik_reg_suthhamtun;false;F5DEB3
vik_reg_tamworthige;false;5C5C5C
vik_reg_tanet;false;CD8500
vik_reg_terra_incognita;false;C70738
vik_reg_theodford;false;8B2500
vik_reg_thursa;false;EE9A49
cib_reg_corda;false;121212
vik_reg_tintagol;false;7A67EE
vik_reg_tor_in_duine;false;008B00
vik_reg_torfness;false;787878
vik_reg_totanes;false;00B2EE
vik_reg_tuaim;false;006400
vik_reg_tuam_greine;false;1F1F1F
vik_reg_tureceseig;false;A020F0
vik_reg_vedrafjordr;false;CD2990
vik_reg_veisafjordr;false;CAFF70
vik_reg_waecet;false;FF7F00
vik_reg_waerincwicum;false;B9D3EE
vik_reg_werham;false;8B7B8B
vik_reg_wigingamere;false;FF7256
vik_reg_wigracestre;false;050505
vik_reg_wiht;false;CCCCCC
vik_reg_wiltun;false;CDAF95
vik_reg_wintanceaster;false;66CDAA
vik_reg_wyrcesuuyrthe;false;4F94CD
vik_sea_dofere_sund;true;005952
vik_sea_engle_sae;true;00BFF3
vik_sea_engle_sund;true;1B1464
vik_sea_lake;true;5B4DC2
vik_sea_linne_forthin;true;1ABBB4
vik_sea_linne_moreb;true;2E3192
vik_sea_loch_eochaid;true;5A50BE
vik_sea_maerse_sae;true;0076A3
vik_sea_mare_incognita;true;6852CD
vik_sea_muir_britton;true;00746B
vik_sea_muir_deiscert;true;0D004C
vik_sea_muir_domon;true;0072BC
vik_sea_muir_eirenn;true;004A80
vik_sea_muir_norc;true;0054A6
vik_sea_muir_sinna;true;003471
vik_sea_muir_tuaiscert;true;00AEEF
vik_sea_northsae;true;002157
vik_sea_seaxe_sae;true;448CCB
vik_sea_solentan;true;005B7F
vik_sea_sruth_tuaiscert;true;00A99D
vik_sea_suthsae;true;003663
